protein_id	gene_id	gene_symbol
FBpp0074903	FBgn0036773	CG13698
FBpp0305851	FBgn0036773	CG13698
FBpp0308436	FBgn0033327	PGRP-SC1b
FBpp0087787	FBgn0033327	PGRP-SC1b
FBpp0082192	FBgn0038102	CG14383
FBpp0078139	FBgn0027532	CG7139
FBpp0291542	FBgn0003882	tub
FBpp0079788	FBgn0262647	Nup160
FBpp0310208	FBgn0262647	Nup160
FBpp0111426	FBgn0085345	CG34316
FBpp0290793	FBgn0011274	Dif
FBpp0080561	FBgn0011274	Dif
FBpp0080562	FBgn0011274	Dif
FBpp0290792	FBgn0011274	Dif
FBpp0082037	FBgn0038009	CG17738
FBpp0077522	FBgn0000097	aop
FBpp0077523	FBgn0000097	aop
FBpp0303509	FBgn0000097	aop
FBpp0303508	FBgn0000097	aop
FBpp0303510	FBgn0000097	aop
FBpp0110506	FBgn0086683	Spf45
FBpp0110573	FBgn0086683	Spf45
FBpp0110561	FBgn0086683	Spf45
FBpp0303916	FBgn0037027	HIPP1
FBpp0303915	FBgn0037027	HIPP1
FBpp0077914	FBgn0037027	HIPP1
FBpp0303914	FBgn0037027	HIPP1
FBpp0300934	FBgn0034160	CG5550
FBpp0086184	FBgn0034160	CG5550
FBpp0083735	FBgn0039034	Or94b
FBpp0297937	FBgn0025837	CG17636
FBpp0111834	FBgn0025837	CG17636
FBpp0297938	FBgn0025837	CG17636
FBpp0085222	FBgn0261479	nero
FBpp0298370	FBgn0052694	CG32694
FBpp0298369	FBgn0052694	CG32694
FBpp0071346	FBgn0052694	CG32694
FBpp0309420	FBgn0052694	CG32694
FBpp0071347	FBgn0052694	CG32694
FBpp0298371	FBgn0052694	CG32694
FBpp0071345	FBgn0052694	CG32694
FBpp0305301	FBgn0011230	poe
FBpp0079167	FBgn0011230	poe
FBpp0078891	FBgn0027496	epsilonCOP
FBpp0079185	FBgn0031957	TwdlE
FBpp0082779	FBgn0038449	CG17562
FBpp0087747	FBgn0033363	CG13744
FBpp0085453	FBgn0033088	PGAP3
FBpp0085452	FBgn0033088	PGAP3
FBpp0085175	FBgn0051204	CG31204
FBpp0428204	FBgn0263585	CG43610
FBpp0082787	FBgn0015019	CCT3
FBpp0082788	FBgn0015019	CCT3
FBpp0291565	FBgn0015019	CCT3
FBpp0291566	FBgn0015019	CCT3
FBpp0088517	FBgn0027572	ACOX1
FBpp0082574	FBgn0013269	Fkbp39
FBpp0085064	FBgn0004606	zfh1
FBpp0085063	FBgn0004606	zfh1
FBpp0303607	FBgn0004606	zfh1
FBpp0086965	FBgn0026741	mRpL18
FBpp0289669	FBgn0259991	CG42488
FBpp0309674	FBgn0034595	CG15657
FBpp0071558	FBgn0034595	CG15657
FBpp0290078	FBgn0260431	CG42526
FBpp0308303	FBgn0039380	CG5890
FBpp0423186	FBgn0039380	CG5890
FBpp0308302	FBgn0039380	CG5890
FBpp0297220	FBgn0262840	CG43204
FBpp0071594	FBgn0027360	Tim10
FBpp0071593	FBgn0027360	Tim10
FBpp0081847	FBgn0037875	ZnT86D
FBpp0071014	FBgn0265265	CG32727
FBpp0079818	FBgn0283682	Ge-1
FBpp0079819	FBgn0283682	Ge-1
FBpp0291500	FBgn0264962	Pcf11
FBpp0291716	FBgn0264962	Pcf11
FBpp0309007	FBgn0264962	Pcf11
FBpp0309006	FBgn0264962	Pcf11
FBpp0311632	FBgn0264962	Pcf11
FBpp0290728	FBgn0264962	Pcf11
FBpp0291319	FBgn0264962	Pcf11
FBpp0087243	FBgn0082585	sprt
FBpp0099390	FBgn0261458	capt
FBpp0304563	FBgn0261458	capt
FBpp0099391	FBgn0261458	capt
FBpp0086617	FBgn0033936	Achl
FBpp0311633	FBgn0033936	Achl
FBpp0302008	FBgn0034804	GrlHz
FBpp0071902	FBgn0034804	GrlHz
FBpp0291789	FBgn0261547	Exn
FBpp0291787	FBgn0261547	Exn
FBpp0291790	FBgn0261547	Exn
FBpp0291788	FBgn0261547	Exn
FBpp0291791	FBgn0261547	Exn
FBpp0087290	FBgn0033590	CG13217
FBpp0074993	FBgn0266669	Sec3
FBpp0087876	FBgn0050376	CG30376
FBpp0074842	FBgn0036826	arx
FBpp0112047	FBgn0263239	dar1
FBpp0311201	FBgn0085428	Nox
FBpp0111562	FBgn0085428	Nox
FBpp0311530	FBgn0085428	Nox
FBpp0311529	FBgn0085428	Nox
FBpp0271849	FBgn0050460	CG30460
FBpp0086163	FBgn0050460	CG30460
FBpp0291767	FBgn0050460	CG30460
FBpp0271848	FBgn0050460	CG30460
FBpp0290180	FBgn0050460	CG30460
FBpp0086161	FBgn0050460	CG30460
FBpp0086160	FBgn0050460	CG30460
FBpp0086162	FBgn0050460	CG30460
FBpp0112290	FBgn0050460	CG30460
FBpp0082071	FBgn0286075	DNAlig3
FBpp0084726	FBgn0027873	Cpsf100
FBpp0072658	FBgn0027903	PolD2
FBpp0085632	FBgn0034483	CG16894
FBpp0311830	FBgn0029950	rumpel
FBpp0071015	FBgn0029950	rumpel
FBpp0306432	FBgn0037606	CG8032
FBpp0081369	FBgn0037606	CG8032
FBpp0076767	FBgn0020637	Lcp65Ag2
FBpp0086531	FBgn0034001	mRpL41
FBpp0312592	FBgn0086695	hd
FBpp0078445	FBgn0086695	hd
FBpp0303715	FBgn0028902	Tektin-A
FBpp0080346	FBgn0028902	Tektin-A
FBpp0083140	FBgn0038656	CG14294
FBpp0087160	FBgn0033667	reb
FBpp0077333	FBgn0031492	Prp40
FBpp0304025	FBgn0032167	CG5853
FBpp0311684	FBgn0032167	CG5853
FBpp0079489	FBgn0032167	CG5853
FBpp0402894	FBgn0028675	Sur
FBpp0291398	FBgn0051195	CG31195
FBpp0289237	FBgn0259707	CG42361
FBpp0081962	FBgn0037976	Tk
FBpp0307416	FBgn0037976	Tk
FBpp0303325	FBgn0266137	Dop1R2
FBpp0084833	FBgn0266137	Dop1R2
FBpp0084834	FBgn0266137	Dop1R2
FBpp0075478	FBgn0036415	CG7768
FBpp0075479	FBgn0036415	CG7768
FBpp0111266	FBgn0250826	CG34160
FBpp0111666	FBgn0085478	Zdhhc8
FBpp0111665	FBgn0085478	Zdhhc8
FBpp0309780	FBgn0085478	Zdhhc8
FBpp0309781	FBgn0085478	Zdhhc8
FBpp0303736	FBgn0085478	Zdhhc8
FBpp0111667	FBgn0085478	Zdhhc8
FBpp0300815	FBgn0085478	Zdhhc8
FBpp0084521	FBgn0039474	CG6283
FBpp0081961	FBgn0260746	Ect3
FBpp0304797	FBgn0283658	muc
FBpp0079072	FBgn0283658	muc
FBpp0304796	FBgn0283658	muc
FBpp0304795	FBgn0283658	muc
FBpp0304794	FBgn0283658	muc
FBpp0079073	FBgn0283658	muc
FBpp0290787	FBgn0040784	karr
FBpp0308968	FBgn0030468	CG1622
FBpp0073588	FBgn0030468	CG1622
FBpp0302613	FBgn0030468	CG1622
FBpp0077567	FBgn0031365	CG17650
FBpp0071485	FBgn0008636	hbn
FBpp0070680	FBgn0029722	CG7024
FBpp0293259	FBgn0001324	kto
FBpp0074653	FBgn0001324	kto
FBpp0289586	FBgn0028988	Spn42Dd
FBpp0305093	FBgn0052269	CG32269
FBpp0100145	FBgn0052269	CG32269
FBpp0084248	FBgn0022800	Cad96Ca
FBpp0071973	FBgn0015277	Pi3K59F
FBpp0070781	FBgn0029811	Cpr5C
FBpp0301041	FBgn0000179	bi
FBpp0303589	FBgn0000179	bi
FBpp0301040	FBgn0000179	bi
FBpp0289836	FBgn0000179	bi
FBpp0070640	FBgn0000179	bi
FBpp0310169	FBgn0000179	bi
FBpp0289835	FBgn0000179	bi
FBpp0112056	FBgn0035558	CG11357
FBpp0073166	FBgn0035558	CG11357
FBpp0293524	FBgn0035558	CG11357
FBpp0112055	FBgn0035558	CG11357
FBpp0082189	FBgn0038107	CG17327
FBpp0307782	FBgn0038107	CG17327
FBpp0071949	FBgn0050413	CG30413
FBpp0082059	FBgn0038043	CG17202
FBpp0310791	FBgn0266431	CG45061
FBpp0290558	FBgn0031107	HERC2
FBpp0081954	FBgn0051211	CG31211
FBpp0081953	FBgn0051211	CG31211
FBpp0081955	FBgn0051211	CG31211
FBpp0087997	FBgn0033205	Rdh1
FBpp0089397	FBgn0000319	Chc
FBpp0089398	FBgn0000319	Chc
FBpp0073966	FBgn0000319	Chc
FBpp0111710	FBgn0000319	Chc
FBpp0073967	FBgn0000319	Chc
FBpp0111709	FBgn0000319	Chc
FBpp0308531	FBgn0000319	Chc
FBpp0079799	FBgn0052831	CG33695
FBpp0079800	FBgn0052831	CG33695
FBpp0079797	FBgn0052831	CG33695
FBpp0079798	FBgn0052831	CG33695
FBpp0081907	FBgn0037943	CG14722
FBpp0305999	FBgn0052037	CG32037
FBpp0076197	FBgn0052037	CG32037
FBpp0071183	FBgn0030041	CG12116
FBpp0301751	FBgn0004133	blow
FBpp0088026	FBgn0004133	blow
FBpp0289597	FBgn0004133	blow
FBpp0292393	FBgn0261816	CG42758
FBpp0073614	FBgn0030493	CG15756
FBpp0309316	FBgn0030817	CG4991
FBpp0074159	FBgn0030817	CG4991
FBpp0306536	FBgn0030817	CG4991
FBpp0306537	FBgn0030817	CG4991
FBpp0074158	FBgn0030817	CG4991
FBpp0310065	FBgn0031961	CG7102
FBpp0079181	FBgn0031961	CG7102
FBpp0070006	FBgn0031092	CG9577
FBpp0309185	FBgn0263233	robls54B
FBpp0111300	FBgn0263233	robls54B
FBpp0309447	FBgn0032321	YL-1
FBpp0079735	FBgn0032321	YL-1
FBpp0078448	FBgn0250746	Prosbeta7
FBpp0078449	FBgn0250746	Prosbeta7
FBpp0082507	FBgn0038300	Mau2
FBpp0288947	FBgn0259185	Ir60b
FBpp0297879	FBgn0031701	TotM
FBpp0078708	FBgn0031701	TotM
FBpp0111916	FBgn0030954	CCKLR-17D3
FBpp0303444	FBgn0264006	dysc
FBpp0305235	FBgn0264006	dysc
FBpp0303445	FBgn0264006	dysc
FBpp0303440	FBgn0264006	dysc
FBpp0303443	FBgn0264006	dysc
FBpp0303446	FBgn0264006	dysc
FBpp0303442	FBgn0264006	dysc
FBpp0079692	FBgn0287630	dbf
FBpp0074592	FBgn0036953	CG17145
FBpp0304938	FBgn0036953	CG17145
FBpp0112248	FBgn0040973	CG16824
FBpp0312391	FBgn0036828	Prp6
FBpp0074835	FBgn0036828	Prp6
FBpp0088404	FBgn0028979	tio
FBpp0307374	FBgn0028979	tio
FBpp0071332	FBgn0030156	CG15247
FBpp0086712	FBgn0033884	CG13344
FBpp0308975	FBgn0033884	CG13344
FBpp0071095	FBgn0029969	Acat1
FBpp0311869	FBgn0029969	Acat1
FBpp0077152	FBgn0031597	CG17612
FBpp0077153	FBgn0031597	CG17612
FBpp0309206	FBgn0003209	raw
FBpp0079348	FBgn0003209	raw
FBpp0292871	FBgn0003209	raw
FBpp0079347	FBgn0003209	raw
FBpp0309207	FBgn0003209	raw
FBpp0083740	FBgn0027526	Ublcp1
FBpp0071965	FBgn0034869	CG13558
FBpp0075899	FBgn0041094	scyl
FBpp0308940	FBgn0041094	scyl
FBpp0081179	FBgn0051482	CG31482
FBpp0311735	FBgn0261057	Sfp36F
FBpp0291149	FBgn0261057	Sfp36F
FBpp0070478	FBgn0024994	Ugalt
FBpp0271784	FBgn0024994	Ugalt
FBpp0311754	FBgn0024994	Ugalt
FBpp0086231	FBgn0034151	CG15617
FBpp0289396	FBgn0035845	CG13675
FBpp0303120	FBgn0035845	CG13675
